No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Applies To,Status,Verified At
1,Core,Animate transform and opacity only,"Always animate GPU-accelerated properties (x, y, scale, rotate, opacity) instead of layout properties (width, height, top, left, margin).",Use x y scale opacity for smooth 60/120fps animations,Animate width height top left or padding which trigger layout reflow,"<motion.div initial={{ opacity: 0, y: 16 }} animate={{ opacity: 1, y: 0 }} transition={{ duration: 0.3 }} />",<motion.div initial={{ height: 0 }} animate={{ height: 200 }} />,Critical,https://motion.dev/docs/react-animation,framer-motion 12.x,active,2026-08-14
2,Presence,Use AnimatePresence for exit animations,"Wrap conditional components in AnimatePresence with mode=""wait"" or mode=""popLayout"" to animate removal from DOM.",Always provide a unique key on immediate children of AnimatePresence,Forget key prop or put AnimatePresence inside the conditional branch,"<AnimatePresence mode=""wait"">{isVisible && (<motion.div key=""modal"" initial={{ opacity: 0, scale: 0.95 }} animate={{ opacity: 1, scale: 1 }} exit={{ opacity: 0, scale: 0.95 }} />)}</AnimatePresence>",{isVisible && (<AnimatePresence><motion.div exit={{ opacity: 0 }} /></AnimatePresence>)},High,https://motion.dev/docs/react-animate-presence,framer-motion 12.x,active,2026-08-14
3,Variants,Use variants for orchestrated and clean animation states,Define animation variants outside component to keep JSX clean and orchestrate staggered children automatically.,Use variants with staggerChildren and delayChildren for list/card reveals,Inline massive animate objects inside every JSX tag,"const container = { hidden: { opacity: 0 }, show: { opacity: 1, transition: { staggerChildren: 0.08 } } }; const item = { hidden: { opacity: 0, y: 12 }, show: { opacity: 1, y: 0 } }; return (<motion.ul variants={container} initial=""hidden"" animate=""show"">{items.map(i => <motion.li key={i.id} variants={item} />)}</motion.ul>);","<motion.div animate={{ opacity: 1, y: 0, transition: { duration: 0.4, delay: index * 0.1 } }} />",High,https://motion.dev/docs/react-variants,framer-motion 12.x,active,2026-08-14
4,Layout,Use layout prop for automatic UI reflow transitions,"Add layout prop to elements whose position/size changes when siblings expand, filter, or reorder.",Use layout with spring transition for smooth accordion and grid reflow,Manually calculate element bounding boxes and tween heights,"<motion.div layout transition={{ type: ""spring"", stiffness: 350, damping: 25 }}>{expanded && <Details />}</motion.div>","<div style={{ transition: ""all 0.3s ease"" }}>{expanded && <Details />}</div>",High,https://motion.dev/docs/react-layout-animations,framer-motion 12.x,active,2026-08-14
5,Shared Elements,Use layoutId for seamless morphing transitions,Share a layoutId between two components across different views or tabs to smoothly morph from one into the other (e.g. active tab indicator or card expansion).,Set layoutId on active pill/indicator or card-to-modal expander,Build complex FLIP calculations manually,"{isActive && <motion.div layoutId=""active-indicator"" className=""absolute inset-0 bg-primary rounded-full"" transition={{ type: ""spring"", stiffness: 380, damping: 30 }} />}","<div className={isActive ? ""bg-primary"" : """"} />",High,https://motion.dev/docs/react-layout-animations#shared-layout-animations,framer-motion 12.x,active,2026-08-14
6,Gestures,Use whileHover and whileTap for interactive micro-feedback,"Add whileHover, whileTap, and whileFocus for spring-driven, interruptible micro-interactions on buttons, cards, and links.","Combine whileHover={{ y: -2, scale: 1.02 }} with whileTap={{ scale: 0.98 }} and cursor-pointer",Rely on brittle CSS :hover transitions without tap/active feedback,"<motion.button whileHover={{ scale: 1.02, y: -2 }} whileTap={{ scale: 0.98 }} transition={{ type: ""spring"", stiffness: 400, damping: 17 }} className=""cursor-pointer"">Click Me</motion.button>","<button className=""hover:translate-y-[-2px] transition"">Click</button>",Medium,https://motion.dev/docs/react-gestures,framer-motion 12.x,active,2026-08-14
7,Scroll,Use whileInView for lazy viewport entrance animations,"Animate elements as they scroll into view using whileInView and viewport={{ once: true, margin: ""-50px"" }}.",Set once: true for standard reveals so scrolling up and down does not re-trigger jarring entrance animations,Attach scroll listeners to window and measure element offsetTop manually,"<motion.section initial={{ opacity: 0, y: 24 }} whileInView={{ opacity: 1, y: 0 }} viewport={{ once: true, margin: ""-100px"" }} transition={{ duration: 0.5, ease: ""easeOut"" }} />","window.addEventListener(""scroll"", onScroll);",High,https://motion.dev/docs/react-scroll-animations,framer-motion 12.x,active,2026-08-14
8,Scroll Scrub,Use useScroll and useTransform for parallax and reading progress,Link scroll progress to styles declaratively using useScroll and useTransform hooks without performance bottlenecks.,Use scrollYProgress with useTransform for parallax header and progress bar,Update React state inside scroll handler causing 60 rerenders per second,"const { scrollYProgress } = useScroll({ target: containerRef, offset: [""start end"", ""end start""] }); const y = useTransform(scrollYProgress, [0, 1], [-50, 50]); return <motion.div style={{ y }} />;","const [pos, setPos] = useState(0); onScroll = (e) => setPos(e.scrollY);",High,https://motion.dev/docs/react-use-scroll,framer-motion 12.x,active,2026-08-14
9,Accessibility,Honor prefers-reduced-motion with useReducedMotion hook,Respect user accessibility preferences by checking useReducedMotion and disabling displacement/scaling.,Fallback to instant switch or subtle opacity fade when reduced motion is requested,Force high-velocity movement and scale bounces on users with vestibular disorders,"const shouldReduce = useReducedMotion(); const variants = { hidden: { opacity: 0, y: shouldReduce ? 0 : 20 }, show: { opacity: 1, y: 0 } };","<motion.div animate={{ rotate: 360, scale: 2 }} />",Critical,https://motion.dev/docs/react-accessibility,framer-motion 12.x,active,2026-08-14
10,Physics,Tune spring physics with stiffness and damping,"Use spring transitions instead of duration/easing for natural, organic motion that adapts gracefully to rapid user clicks.","Use stiffness: 300, damping: 25 for standard UI; stiffness: 400, damping: 15 for bouncy accents",Use linear or harsh duration easing for interactive gestures,"transition={{ type: ""spring"", stiffness: 300, damping: 25, mass: 0.8 }}","transition={{ duration: 1, ease: ""linear"" }}",Medium,https://motion.dev/docs/react-transitions#spring,framer-motion 12.x,active,2026-08-14
